Артилеристів Кременчука вулиця	вулиця Артилеристів Кременчука
Бенчука вулиця	вулиця Бенчука
Букатчука вулиця	вулиця Букатчука
Горенчука вулиця	вулиця Горенчука
Дем’янчука вулиця	вулиця Демʼянчука
Запорожчука вулиця	вулиця Запорожчука
Запорожчука провулок	провулок Запорожчука
Клевчука вулиця	вулиця Клевчука
Коломийчука вулиця	вулиця Коломийчука
Конищука вулиця	вулиця Конищука
Конищука провулок	провулок Конищука
Кулявчука вулиця	вулиця Кулявчука
Лимарчука вулиця	вулиця Лимарчука
Макійчука провулок	провулок Макійчука
Маковейчука вулиця	вулиця Маковейчука
Макiйчука провулок	провулок Макійчука
Марищука вулиця	вулиця Марищука
Невеличука вулиця	вулиця Невеличука
Охрончука вулиця	вулиця Охрончука
П'ятанчука провулок	провулок Пʼятанчука
Пампощука вулиця	вулиця Пампощука
Патрійчука вулиця	вулиця Патрійчука
Пілипчука вулиця	вулиця Пілипчука
Померанчука вулиця	вулиця Померанчука
Пташенчука вулиця	вулиця Пташенчука
Саварчука вулиця	вулиця Саварчука
Сліпенчука вулиця	вулиця Сліпенчука
Теліщука вулиця	вулиця Теліщука
Телячука вулиця	вулиця Телячука
Толощука вулиця	вулиця Толощука
Хамчука вулиця	вулиця Хамчука
