Аветисяна вулиця	вулиця Аветисяна
Адамяна вулиця	вулиця Адамяна
Алабяна вулиця	вулиця Алабяна
Амиряна вулиця	вулиця Амиряна
Ангуряна вулиця	вулиця Ангуряна
Бавовняний провулок	Бавовняний провулок
Багняна вулиця	Багняна вулиця
Багряна вулиця	Багряна вулиця
Багряний провулок	Багряний провулок
Березяна вулиця	Березяна вулиця
Березяний провулок	Березяний провулок
Берестяна вулиця	Берестяна вулиця
Берліяна вулиця	вулиця Берліяна
Білокам’яна вулиця	Білокамʼяна вулиця
Брайляна вулиця	вулиця Брайляна
Бур’яна вулиця	Бурʼяна вулиця
Бурназяна вулиця	вулиця Бурназяна
Буртяна вулиця	Буртяна вулиця
Вапняна вулиця	Вапняна вулиця
Вартаняна вулиця	вулиця Вартаняна
Великокамʼяна вулиця	Великокамʼяна вулиця
Верф'яна вулиця	Верфʼяна вулиця
Весняна вулиця	Весняна вулиця
Весняний в'їзд	Весняний вʼїзд
Весняний в’їзд	Весняний вʼїзд
Весняний завулок	Весняний завулок
Весняний провулок	Весняний провулок
Весняний проїзд	Весняний проїзд
Весняний тупик	Весняний тупик
Вівсяна вулиця	Вівсяна вулиця
Вівсяний провулок	Вівсяний провулок
Вітряна вулиця	Вітряна вулиця
Вітряний провулок	Вітряний провулок
Вітчизняна вулиця	Вітчизняна вулиця
Вітчизняний бульвар	Вітчизняний бульвар
Вобяна вулиця	Вобяна вулиця
Водяна вулиця	Водяна вулиця
Водяний провулок	Водяний провулок
Глиняна вулиця	Глиняна вулиця
Глиняний провулок	Глиняний провулок
Горяна вулиця	Горяна вулиця
Гуньяна вулиця	вулиця Гуньяна
Дарбіняна вулиця	вулиця Дарбіняна
Дарбіняна провулок	провулок Дарбіняна
Дем’яна Бедного вулиця	вулиця Демʼяна Бедного
Дем’яна Гладиловича вулиця	вулиця Демʼяна Гладиловича
Дерев'яний місток	Деревʼяний місток
Дерев`яний міст	Деревʼяний міст
Деревʼяний місток	Деревʼяний місток
Заводяна вулиця	Заводяна вулиця
Залікарняна вулиця	Залікарняна вулиця
Залікарняний провулок	Залікарняний провулок
Заяна вулиця	вулиця Заян
Земляний провулок	Земляний провулок
Зорянa вулиця	Зоряна вулиця
Ісаханяна вулиця	вулиця Ісаханяна
Кам'яна вулиця	Камʼяна вулиця
Кам'яний кар'єр	Камʼяний карʼєр
Кам'яний провулок	Камʼяний провулок
Кам’яна вулиця	Камʼяна вулиця
Кам’яний провулок	Камʼяний провулок
Кам’яний Узвіз провулок	провулок Камʼяний Узвіз
Камʼяна вулиця	Камʼяна вулиця
Камʼяний провулок	Камʼяний провулок
Конопляна вулиця	Конопляна вулиця
Конопляний провулок	Конопляний провулок
Конопляний проїзд	Конопляний проїзд
Копальняна вулиця	Копальняна вулиця
Крейдяна вулиця	Крейдяна вулиця
Крейдяний провулок	Крейдяний провулок
Кудряна вулиця	Кудряна вулиця
Кукурудзяна вулиця	Кукурудзяна вулиця
Кукурудзяний проїзд	Кукурудзяний проїзд
Ледяний вулиця	вулиця Ледяний
Листяна вулиця	Листяна вулиця
Листяний провулок	Листяний провулок
Лікарняна вулиця	Лікарняна вулиця
Лікарняна Колона вулиця	вулиця Лікарняна Колона
Лікарняний масив	Лікарняний масив
Лікарняний провулок	Лікарняний провулок
Лікарняний проїзд	Лікарняний проїзд
Лікарняний тупик	Лікарняний тупик
Лікарняний Хутір вулиця	вулиця Лікарняний Хутір
Льняна вулиця	Льняна вулиця
Малокамʼяна вулиця	Малокамʼяна вулиця
Мар’яна Дишеля провулок	провулок Марʼяна Дишеля
Меліксетяна вулиця	вулиця Меліксетяна
Мілконяна вулиця	вулиця Мілконяна
Мурляна вулиця	Мурляна вулиця
Новоконопляний провулок	Новоконопляний провулок
Овнатаняна вулиця	вулиця Овнатаняна
Осетяна вулиця	Осетяна вулиця
Очеретяна вулиця	Очеретяна вулиця
Очеретяний провулок	Очеретяний провулок
Підвітряна вулиця	Підвітряна вулиця
Підвітряний провулок	Підвітряний провулок
Повітряна вулиця	Повітряна вулиця
Повітряний провулок	Повітряний провулок
Повстяна вулиця	Повстяна вулиця
Погасяна вулиця	вулиця Погасяна
Полтв’яна вулиця	Полтвʼяна вулиця
Різдв'яна вулиця	Різдвяна вулиця
Різдв’ яна вулиця	Різдвяна вулиця
Різдвяна вулиця	Різдвяна вулиця
Різдвяна площа	Різдвяна площа
Різдвяний в'їзд	Різдвяний вʼїзд
Різдвяний в’їзд	Різдвяний вʼїзд
Різдвяний провулок	Різдвяний провулок
Росяна вулиця	Росяна вулиця
Севастьяна провулок	провулок Севастьяна
Серебряна вулиця	Серебряна вулиця
Скляна вулиця	Скляна вулиця
Смоляна вулиця	Смоляна вулиця
Солом'яна вулиця	Соломʼяна вулиця
Солом'яний провулок	Соломʼяний провулок
Соляна вулиця	Соляна вулиця
Соляний провулок	Соляний провулок
Спандаряна вулиця	вулиця Спандаряна
Тевосяна вулиця	вулиця Тевосяна
Торосяна вулиця	Торосяна вулиця
Торф'яний провулок	Торфʼяний провулок
Торф’ яний провулок	Торфʼяний провулок
Торф’яна вулиця	Торфʼяна вулиця
Торф’яний провулок	Торфʼяний провулок
Торф`яна вулиця	Торфʼяна вулиця
Торфяна вулиця	Торфʼяна вулиця
Торфяний провулок	Торфʼяний провулок
Трав'яний провулок	Травʼяний провулок
Травʼяний провулок	Травʼяний провулок
Тростяна вулиця	Тростяна вулиця
Тур’ яна вулиця	Турʼяна вулиця
Цегельняна вулиця	Цегельняна вулиця
Цегляна вулиця	Цегляна вулиця
Цегляна площа	Цегляна площа
Цегляний кар'єр	Цегляний карʼєр
Цегляний масив	Цегляний масив
Цегляний провулок	Цегляний провулок
Чепур’яна вулиця	Чепурʼяна вулиця
Червонозоряна вулиця	Червонозоряна вулиця
Червонозоряний провулок	Червонозоряний провулок
Червонозоряний проспект	Червонозоряний проспект
Шкіряна вулиця	Шкіряна вулиця
