Альпійска вулиця	Альпійська вулиця
Анадольска вулиця	Анадольська вулиця
Вчительска вулиця	Вчительська вулиця
Гвардійска вулиця	Гвардійська вулиця
Дільска вулиця	Дільска вулиця
І Комсомольска вулиця	1-ша Комсомольска вулиця
Кагульска вулиця	Кагульска вулиця
Колоска вулиця	вулиця Колоска
Комсомольска вулиця	Комсомольска вулиця
Краснооктябрьска вулиця	Краснооктябрьска вулиця
Красноуральска вулиця	Красноуральска вулиця
Малошпаківска вулиця	Малошпаківска вулиця
Маріупольска вулиця	Маріупольска вулиця
Мелітопольска вулиця	Мелітопольска вулиця
Микільска вулиця	Микільска вулиця
Новоберезівска вулиця	Новоберезівска вулиця
Новооскольска вулиця	Новооскольска вулиця
Новосільска вулиця	Новосільска вулиця
Нямешаска вулиця	Нямешаска вулиця
Октябрьска вулиця	Октябрьска вулиця
Павлодарьска вулиця	Павлодарьска вулиця
Первомайска вулиця	Первомайска вулиця
Плоска вулиця	Плоска вулиця
Подільска вулиця	Подільська вулиця
Покільска вулиця	Покільска вулиця
Придніпровсьска вулиця	Придніпровська вулиця
Пулковска вулиця	Пулковска вулиця
Рибальска вулиця	Рибальска вулиця
Ровиска вулиця	вулиця Ровиска
Сентябрьска вулиця	Сентябрьска вулиця
Старосільска вулиця	Старосільська вулиця
Татарбунарьска вулиця	Татарбунарьска вулиця
Федуска вулиця	вулиця Федуска
Циска вулиця	вулиця Циска
Червоноармійска вулиця	Червоноармійска вулиця
Январьска вулиця	Январьска вулиця
