
1-й Балківський провулок	Балківський I провулок
1-й Благовіщенський провулок	I-й Благовіщенський провулок
1-й Дальницький провулок	Дальницький 1-й провулок
1-й Комсомольський провулок	Комсомольський 1-й провулок
1-й Лісовий провулок	провулок Лісовий І
1-й Маякський провулок	Маякський 1-й провулок
1-й Молодогвардійський провулок	Молодогвардійський провулок 1-й
1-й Олімпійський провулок	Перший Олімпійський провулок
1-й Підгаєцький провулок	Підгаєцький-1 провулок
1-й Проскурівський провулок	Перший Проскурівський провулок
1-й Садовий провулок	Садова 1 провулок
1-й Смілянський провулок	Смілянський 1 провулок
1-й Смілянський провулок	Смілянський провулок 1
1-й Тираспольский провулок	Тираспольский 1-й провулок
1-ша Висока вулиця	Перша Висока вулиця
1-ша Вільна вулиця	Перша Вільна вулиця
1-ша Дністровська вулиця	Дністровська I вулиця
1-ша Комсомольска вулиця	І Комсомольска вулиця
1-ша Комсомольська вулиця	Комсомольська-І вулиця
1-ша Лісна вулиця	1-ліна вулиця
1-ша Марʼянівська лінія	1-а Мар’янівська лінія
1-ша Обʼїздна вулиця	Об’їздна перша вулиця
1-ша Озерна вулиця	Озерна-1-а вулиця
1-ша Південна вулиця	Південна 1 вулиця
1-ша Поперечна вулиця	Поперечна перша вулиця
1-ша Привокзальна вулиця	Перша Привокзальна вулиця
1-ша Продольна вулиця	Продольна перша вулиця
1-ша Садова вулиця	Садова-1 вулиця
1-ша Спортивна вулиця	Спортивна Перша вулиця
1-ша Степова вулиця	Степова перша вулиця
1-ша Східна вулиця	Східна - I вулиця
1-ша Хмельова вулиця	Хмельова перша вулиця
2-га Базарна вулиця	Друга Базарна вулиця
2-га Висока вулиця	Друга Висока вулиця
2-га Високовольтна вулиця	ІІ-Високовольтна вулиця
2-га Вільна вулиця	Друга Вільна вулиця
2-га Дністровська вулиця	Дністровська II вулиця
2-га Зарічна вулиця	Зарічна-2 вулиця
2-га Комсомольська вулиця	ІІ Комсомольська вулиця
