
1-й вʼїзд Байрона	1-й Байрона в’їзд
1-й вʼїзд Дмитра Овчаренка	1-й Овчаренка Дмитра в’їзд
1-й вʼїзд Достоєвського	1-й Достоєвського в’їзд
1-й вʼїзд Жилярді	1-й Жилярді в’їзд
1-й вʼїзд Іллі Рєпіна	1-й Іллі Рєпіна в'їзд
1-й вʼїзд Крилова	1-й Крилова в’їзд
1-й вʼїзд Левка Симиренка	1-й Левка Симиренка в’їзд
1-й вʼїзд Луї Пастера	1-й Луї Пастера в’їзд
1-й вʼїзд Матросова	1-й Матросова в'їзд
1-й вʼїзд Мирошниченка	Мирошниченка 1-й в'їзд
1-й вʼїзд Мічуріна	1-й Мічуріна в’їзд
1-й вʼїзд Незалежності	1-й Незалежності в’їзд
1-й вʼїзд Некрасова	1-й Некрасова в’їзд
1-й вʼїзд Олександра Довженка	1-й Олександра Довженка в'їзд
1-й вʼїзд Петровського	1-й Петровського в’їзд
1-й вʼїзд Челюскінців	1-й Челюскінців в’їзд
1-й квартал	1 квартал
1-й квартал	1-й квартал
1-й квартал Фурсівської вулиці	Фурсівська 1 квартал вулиця
1-й мікрорайон	1-й микрорайон
1-й мікрорайон	Мікрорайон 1
1-й провулок	1-й провулок
1-й провулок	Перший провулок
1-й провулок 1 Травня	1-й 1-го Травня провулок
1-й провулок 12 Грудня	1-й 12-го Грудня провулок
1-й провулок 23 Вересня	1-й 23-го Вересня провулок
1-й провулок 30-річчя Перемоги	І провулок 30-ччя Перемоги
1-й провулок 8 Березня	1-й 8-го Березня провулок
1-й провулок 8 Травня	1-й 8 Травня провулок
1-й провулок 9 Травня	1-й 9 Травня провулок
1-й провулок Адмірала Лозівського	1-й Адмірала Лозівського провулок
1-й провулок Айвазовського	1-й Айвазовського провулок
1-й провулок Академіка Корольова	1-й Академіка Корольова провулок
1-й провулок Академіка Пирогова	1-й Академіка Пирогова провулок
1-й провулок Амундсена	1-й Амундсена провулок
1-й провулок Антона Турчановича	1-й Антона Турчановича провулок
1-й провулок Аптекарської	1-й Аптекарської провулок
1-й провулок Аріадни Стебельської	1-й Аріадни Стебельської провулок
1-й провулок Бадаєва	1-й Бадаєва провулок
1-й провулок Бахмацьких Дивізій	1-й Бахмацьких дивізій провулок
1-й провулок Берегової	1-й Берегової провулок
1-й провулок Бестужева	1-й Бестужева провулок
1-й провулок Битий Шлях	1-й провулок Битий Шлях
1-й провулок Благовіщенської вулиці	1-й Благовіщенської вулиці провулок
1-й провулок Блюхера	1-й Блюхера провулок
1-й провулок Богдана Хмельницького	1-й Б. Хмельницького провулок
1-й провулок Богдана Хмельницького	1-й Богдана Хмельницького провулок
1-й провулок Бойка	1-й Бойка провулок
1-й провулок Бойківської вулиці	1-й Бойківської вулиці провулок
1-й провулок Бориса Гмирі	1-й Бориса Гмирі провулок
1-й провулок Бориса Грінченка	1-й Бориса Грінченка провулок
1-й провулок Бориса Шкляра	1-й Бориса Шкляра провулок
1-й провулок Борисівки	1-й Борисівки провулок
1-й провулок Борисяка	1-й Борисяка провулок
1-й провулок Боцька	провулок Боцька І
1-й провулок Будівельників	1-й Будівельників провулок
1-й провулок Будьонного	1-й Будьонного провулок
1-й провулок Бульбенка	1-й Бульбенка провулок
