
1-ша Калинова	Калинова 1
1-ша Набережна вулиця річки Стрілка	1-а Набережна р. Стрілка вулиця
1-ша Озерна вулиця А	1-а А Озерна вулиця
10-та Ірпінська вулиця А	10а Ірпінська вулиця
10-та Ірпінська вулиця Б	10б Ірпінська вулиця
2-га Калинова	Калиновая 2
2-га Набережна вулиця річки Стрілка	2-а Набережна р. Стрілка вулиця
2-й Іршанський тунель	2-й іршанський тунель
24 Серпня	24 Серпня
3-й микрорайон	3 микрорайон
3-й Нагірний провулок Б	Нагірний 3б провулок
3-тя Калинова	Калиновая 3
4-та Калинова	Калиновая 4
40-річчя Жовтня	40-річчя Жовтня
49-та Садова вулиця А	49-а А Садова вулиця
49-та Садова вулиця А	49А Садова вулиця
5-та Калинова	Калиновая 5
50-та Садова вулиця А	50-а А Садова вулиця
53-тя Садова вулиця А	53-я А Садова вулиця
Артемівський переїзд	Артемівський переїзд
Венеціанський дворик	Венеціанський дворик
Військове містечко 1	Військове містечко-1
Військове містечко 11	Військове містечко №11
Військове містечко 161	Військове містечко 161
Військове містечко 33	Військове містечко-33
Військове містечко 35	Військове містечко №35
Лівонабережна вулиця річки Камʼянки	Лівонабережна річки Кам’янки вулиця
Молодіжна вулиця А	Молодіжна А вулиця
Набережна вулиця річки Грунь	Набережна Грунь вулиця
Набережна вулиця річки Псел	Набережна Псла вулиця
Набережна вулиця річки Псел	Набережна р. Псел вулиця
Набережна вулиця річки Сумка	Набережна р. Сумка вулиця
Польовий заїзд	Польовий заїзд
Прикордонний заїзд	Прикордонний заїзд
Старообухівська траса	Старообухівська траса
Центральна площа Крижополя	Центральна площа Крижополя
Центральна площа міста Сарни	Центральна площа м. Сарни
